file,sample_size,r_repeat,sample_repeat,r_size,ang_pre_time,collapsed_pre_time,ang_sample_time,collapsed_sample_time,ang_total_time,collapsed_total_time,ang_nodes,collapsed_nodes
hailfinder,500,10,50,5,0.0011732,0.00111567,5.35536379,2.86006153,5.35653699,2.8611772,32.3,16.3
hailfinder,5000,10,50,5,0.00051639,0.00025578,4.2192709,1.5417478,4.21978729,1.54200358,23.2,8.7
hepar2,500,10,50,5,0.00067139,0.00044549,3.59114864,2.06468484,3.59182003,2.06513033,22.6,12.7
hepar2,5000,10,50,5,0.00083068,0.00047921,6.32975053,2.90228895,6.33058121,2.90276816,23.8,11
andes,500,10,50,5,0.00274804,0.00314238,17.40456855,10.55486797,17.40731659,10.55801035,114.7,63.3
andes,5000,10,50,5,0.00141001,0.00128944,13.37063169,7.47616321,13.3720417,7.47745265,90.3,45.3
munin,500,10,50,5,0.00106258,0.00088264,5.23557031,2.79808014,5.23663289,2.79896278,55.2,27.5
munin,5000,10,50,5,0.00125604,0.00100918,8.15866436,5.00978182,8.1599204,5.010791,65.9,36.9
